household ID,District,village #,distvil,Longitude,Latitude,Decisions,Disputes,Protection,Rules,Poppies,Education_level,Group_cooperation,Household_size,Village_size,Healthcare_none,Healthcare_hospital,Healthcare_clinic,Healthcare_doctor,Healthcare_treatment,Healthcare_24hr,School_attendance,Hours_to_water,Electricity,Shura,Shura_role,Livestock,Land,Shura_attendance,Shura_membership,Shura_happiness,Shura_female,Shura_separatefemale,Hoququi_dispute,Money_proxy,Insecurity,Illness,FoodPrice_increase,FarmGatePrice_increase,DrinkWater_decrease,ManyRefugees,EmploymentLoss,Salary_decrease,Loss_house,Loss_livestock,Loss_other,Bicycle,Motorcycle,Car,Connections,Power,AgricultureOutput_decrease,Television,vehicle,Property,Economic_wellness
24110100,ADRASKAN,100,ADRASKAN-100,62.06454,33.31401,Malik,Malik,Patriarch,Shura_Head,0,1,Yes,12,220,1,0,0,0,Declined,No,Same,3,No,Yes,Declined,No,Own,NO,NO,Happy,NO,YES,YES_resolved,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,3,Decentral,YES,NO,0,0,0
2411010001,ADRASKAN,100,ADRASKAN-100,62.05419,33.30693,Shura_Head,Shura_Head,Shura_Head,Shura_Head,0,1,Yes,25,?,0,0,0,1,District,No,Increased,3,No,Yes,Disputes,No,Own,YES,YES,Happy,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,1,Central,YES,YES,0,0,1
2411010003,ADRASKAN,100,ADRASKAN-100,62.05322,33.30671,Shura_Head,Shura_Head,Shura_Head,Shura_Head,0,1,No,18,230,0,0,0,1,District,No,Same,3,No,Yes,Disputes,No,Own,NO,NO,Happy,NO,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,1,Central,NO,NO,0,0,1
2411010004,ADRASKAN,100,ADRASKAN-100,62.05297,33.30644,Shura_Head,Shura_Head,Shura_Head,Shura_Head,0,1,Yes,8,250,0,0,0,1,District,No,Increased,3,No,Yes,Nothing,No,Own,NO,NO,Happy,YES,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,1,Central,YES,NO,0,0,1
2411010005,ADRASKAN,100,ADRASKAN-100,62.05297,33.30633,Shura_Head,Shura_Head,Shura_Head,Shura_Head,0,1,No,8,250,0,0,0,1,City,Yes,Increased,3,No,Yes,Disputes,No,Own,NO,NO,Happy,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,1,Central,NO,NO,0,0,1
2411010007,ADRASKAN,100,ADRASKAN-100,62.08785,33.51049,Malik,Malik,Malik,Malik,0,1,Declined,68,250,0,0,1,0,District,No,Same,1,No,Yes,Nothing,Yes,Own,NO,NO,Happy,YES,?,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1,Central,YES,NO,0,1,1
2411010008,ADRASKAN,100,ADRASKAN-100,62.08735,33.51015,Malik,Malik,Malik,Malik,0,1,Declined,10,250,0,0,1,0,District,No,Same,1,No,Yes,Nothing,No,Own,NO,NO,Happy,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1,Central,YES,NO,0,0,1
2411010009,ADRASKAN,100,ADRASKAN-100,62.08755,33.5103,Malik,Malik,Malik,Malik,0,1,Declined,6,250,0,0,1,0,District,No,Same,1,No,Yes,Nothing,Yes,No,NO,NO,Happy,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,1,Central,NO,YES,0,0,1
2411010010,ADRASKAN,100,ADRASKAN-100,62.08744,33.51003,Malik,Malik,Malik,Malik,0,1,Declined,12,250,0,0,1,0,District,No,Same,1,No,Yes,Other,No,Own,NO,NO,Happy,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1,Central,YES,YES,0,0,1
2411010101,ADRASKAN,101,ADRASKAN-101,62.11533,33.51725,Shura_member,Malik,Government,Malik,0,1,No,8,300,1,0,0,0,Provice,No,Same,1,No,Yes,Disputes,Yes,Own,YES,NO,Happy,NO,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,?,?,?,3,Decentral,YES,?,0,1,0
2411010102,ADRASKAN,101,ADRASKAN-101,62.11533,33.51818,Malik,Malik,Other,Malik,0,1,Yes,5,250,1,0,0,0,Declined,No,Same,1,No,Yes,Disputes,Yes,No,NO,NO,Happy,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,2,Central,NO,NO,0,0,0
2411010103,ADRASKAN,101,ADRASKAN-101,62.11848,33.52012,Malik,Malik,Government,Malik,0,1,Declined,3,350,1,0,0,0,Declined,No,Same,1,No,?,Nothing,No,No,YES,NO,Happy,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,2,Central,NO,NO,0,0,0
2411010104,ADRASKAN,101,ADRASKAN-101,62.11871,33.5199,Malik,Malik,Government,Malik,0,1,No,9,200,1,0,0,0,Declined,No,Same,1,No,Yes,Nothing,Yes,No,YES,NO,Happy,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,2,Central,NO,YES,1,0,0
